ticker,name,url
RELIANCE,Reliance Industries,https://www.screener.in/company/RELIANCE/consolidated/
BHARTIARTL,Bharti Airtel,https://www.screener.in/company/BHARTIARTL/consolidated/
HDFCBANK,HDFC Bank,https://www.screener.in/company/HDFCBANK/consolidated/
ICICIBANK,ICICI Bank,https://www.screener.in/company/ICICIBANK/consolidated/
SBIN,SBI,https://www.screener.in/company/SBIN/consolidated/
TCS,TCS,https://www.screener.in/company/TCS/consolidated/
BAJFINANCE,Bajaj Finance,https://www.screener.in/company/BAJFINANCE/consolidated/
LT,Larsen & Toubro,https://www.screener.in/company/LT/consolidated/
LICI,Life Insurance,https://www.screener.in/company/LICI/consolidated/
HINDUNILVR,Hind. Unilever,https://www.screener.in/company/HINDUNILVR/consolidated/
SUNPHARMA,Sun Pharma.Inds.,https://www.screener.in/company/SUNPHARMA/consolidated/
INFY,Infosys,https://www.screener.in/company/INFY/consolidated/
TITAN,Titan Company,https://www.screener.in/company/TITAN/consolidated/
MARUTI,Maruti Suzuki,https://www.screener.in/company/MARUTI/consolidated/
M&M,M & M,https://www.screener.in/company/M&M/consolidated/
ADANIENT,Adani Enterp.,https://www.screener.in/company/ADANIENT/consolidated/
KOTAKBANK,Kotak Mah. Bank,https://www.screener.in/company/KOTAKBANK/consolidated/
ADANIPOWER,Adani Power,https://www.screener.in/company/ADANIPOWER/consolidated/
ADANIPORTS,Adani Ports,https://www.screener.in/company/ADANIPORTS/consolidated/
AXISBANK,Axis Bank,https://www.screener.in/company/AXISBANK/consolidated/
HCLTECH,HCL Technologies,https://www.screener.in/company/HCLTECH/consolidated/
ULTRACEMCO,UltraTech Cem.,https://www.screener.in/company/ULTRACEMCO/consolidated/
ITC,ITC,https://www.screener.in/company/ITC/consolidated/
JSWSTEEL,JSW Steel,https://www.screener.in/company/JSWSTEEL/consolidated/
HAL,Hind.Aeronautics,https://www.screener.in/company/HAL/consolidated/
NTPC,NTPC,https://www.screener.in/company/NTPC/consolidated/
BAJAJFINSV,Bajaj Finserv,https://www.screener.in/company/BAJAJFINSV/consolidated/
BAJAJ-AUTO,Bajaj Auto,https://www.screener.in/company/BAJAJ-AUTO/consolidated/
ETERNAL,Eternal,https://www.screener.in/company/ETERNAL/consolidated/
BEL,Bharat Electron,https://www.screener.in/company/BEL/consolidated/
ONGC,O N G C,https://www.screener.in/company/ONGC/consolidated/
NESTLEIND,Nestle India,https://www.screener.in/company/NESTLEIND/
HINDZINC,Hindustan Zinc,https://www.screener.in/company/HINDZINC/
SHRIRAMFIN,Shriram Finance,https://www.screener.in/company/SHRIRAMFIN/consolidated/
ASIANPAINT,Asian Paints,https://www.screener.in/company/ASIANPAINT/consolidated/
DMART,Avenue Super.,https://www.screener.in/company/DMART/consolidated/
COALINDIA,Coal India,https://www.screener.in/company/COALINDIA/consolidated/
POWERGRID,Power Grid Corpn,https://www.screener.in/company/POWERGRID/consolidated/
DIVISLAB,Divi's Lab.,https://www.screener.in/company/DIVISLAB/consolidated/
HINDALCO,Hindalco Inds.,https://www.screener.in/company/HINDALCO/consolidated/
TATASTEEL,Tata Steel,https://www.screener.in/company/TATASTEEL/consolidated/
GRASIM,Grasim Inds,https://www.screener.in/company/GRASIM/consolidated/
EICHERMOT,Eicher Motors,https://www.screener.in/company/EICHERMOT/consolidated/
ADANIGREEN,Adani Green,https://www.screener.in/company/ADANIGREEN/consolidated/
TVSMOTOR,TVS Motor Co.,https://www.screener.in/company/TVSMOTOR/consolidated/
INDIGO,Interglobe Aviat,https://www.screener.in/company/INDIGO/consolidated/
IOC,I O C L,https://www.screener.in/company/IOC/consolidated/
ADANIENSOL,Adani Energy Sol,https://www.screener.in/company/ADANIENSOL/consolidated/
TORNTPHARM,Torrent Pharma.,https://www.screener.in/company/TORNTPHARM/consolidated/
HYUNDAI,Hyundai Motor I,https://www.screener.in/company/HYUNDAI/consolidated/
SOLARINDS,Solar Industries,https://www.screener.in/company/SOLARINDS/consolidated/
